method,parameter,estimate,se,sim,TRUE,pct_diff
secr_joint,D.(Intercept),1.106557973,0.079333803,1,1.098612289,0.723247357
secr_joint,D.x.s,0.494382168,0.084026707,1,0.5,-1.123566471
secr_joint,D.y.s,0.550684395,0.084706237,1,0.5,10.13687908
secr_joint,g0,1.454906368,0.5778307,1,0.8,81.86329598
secr_joint,sigma.(Intercept),4.083603009,0.056053702,1,4.05,0.829703919
secr_joint,sigma.x.s,-0.22670561,0.03816956,1,-0.23,-1.432343372
secr_joint,sigma.y.s,-0.230913673,0.039023972,1,-0.23,0.397249299
secr_glm,D.x.s,0,209.7152,1,0.5,-100
secr_glm,D.y.s,0,209.7152,1,0.5,-100
secr_glm,g0,1.45817919,0.579172389,1,0.8,82.2723987
secr_glm,sigma.(Intercept),4.081642325,0.05584318,1,4.05,0.781291977
secr_glm,sigma.x.s,-0.224839319,0.037867404,1,-0.23,-2.243774367
secr_glm,sigma.y.s,-0.229496201,0.038852866,1,-0.23,-0.219043254
secr_glm,D.(Intercept),1.108833713,0.058377825,1,1.098612289,0.930394099
secr_glm,D.x.s,0.491592394,0.06044443,1,0.5,-1.681521198
secr_glm,D.y.s,0.548505937,0.060846193,1,0.5,9.701187463
secr_joint,D.(Intercept),1.096329324,0.08528775,2,1.098612289,-0.207804425
secr_joint,D.x.s,0.478460887,0.09028523,2,0.5,-4.307822595
secr_joint,D.y.s,0.487144459,0.092225292,2,0.5,-2.571108276
secr_joint,g0,1.260036651,0.546952339,2,0.8,57.50458134
secr_joint,sigma.(Intercept),4.04420819,0.061272665,2,4.05,-0.143007661
secr_joint,sigma.x.s,-0.169952003,0.043688941,2,-0.23,-26.10782463
secr_joint,sigma.y.s,-0.209491889,0.045312999,2,-0.23,-8.916569959
secr_glm,D.x.s,0,0,2,0.5,-100
secr_glm,D.y.s,0,0,2,0.5,-100
secr_glm,g0,1.262354388,0.548082648,2,0.8,57.79429849
secr_glm,sigma.(Intercept),4.043301515,0.061232988,2,4.05,-0.165394688
secr_glm,sigma.x.s,-0.170895764,0.043901795,2,-0.23,-25.69749382
secr_glm,sigma.y.s,-0.207859876,0.045009612,2,-0.23,-9.626140762
secr_glm,D.(Intercept),1.097230019,0.061233344,2,1.098612289,-0.125819573
secr_glm,D.x.s,0.479728619,0.063614903,2,0.5,-4.054276239
