sim,parameter,estimate
1,g0,0.7997187801089413
1,D,3.9537842373132586
1,sigma,50.202887075688686
2,g0,0.6953903141361568
2,D,3.1149471342803055
2,sigma,62.630414457825786
3,g0,0.6375574875479953
3,D,3.298383020815326
3,sigma,62.72983228675546
4,g0,0.9999999988529541
4,D,3.413764567526749
4,sigma,48.522797964281395
5,g0,0.993291236146235
5,D,2.1756320604102966
5,sigma,58.11205127255478
6,g0,0.9999999944500934
6,D,2.855981435534864
6,sigma,58.66200458989018
7,g0,0.9999999984395744
7,D,2.890531431725402
7,sigma,52.789107270034904
8,g0,0.9999999992827874
8,D,3.4243835712846646
8,sigma,49.523105536385735
9,g0,0.7185043920932386
9,D,3.50042407104026
9,sigma,60.25452742943291
10,g0,0.4844621273811196
10,D,3.757142059130726
10,sigma,68.09418031115342
11,g0,0.9779090995972927
11,D,3.708765541997764
11,sigma,49.1932589868866
12,g0,0.9499718883911097
12,D,2.814870350546288
12,sigma,60.82134647137573
13,g0,0.5119266250486593
13,D,3.6733433560957884
13,sigma,59.80151451302229
14,g0,0.7507626473105626
14,D,2.2431818461325554
14,sigma,68.27330886103978
15,g0,0.9999999990596946
15,D,1.7546724680437698
15,sigma,62.69290536701907
16,g0,0.45462955481388656
16,D,3.119664869939216
16,sigma,78.96782480812769
17,g0,0.8439591195656816
17,D,2.555075379980068
17,sigma,55.59766894005113
18,g0,0.5852880776208632
18,D,2.9207932713863047
18,sigma,60.72228699650901
19,g0,0.7383786956942466
19,D,1.6733523071074754
19,sigma,71.8868161993493
20,g0,0.4877063384992499
20,D,2.2373529030576287
20,sigma,71.03398411737595
21,g0,0.9999999989785698
21,D,2.6679123175268935
21,sigma,59.188548274644695
22,g0,0.9254428930545723
22,D,2.9840474897719984
22,sigma,51.00062174420931
23,g0,0.9999999969051331
23,D,2.414749038884602
23,sigma,53.214680494985274
24,g0,0.5634788927570747
24,D,3.272685482740044
24,sigma,69.48146833390862
25,g0,0.9999999984785372
25,D,2.1894643288836173
25,sigma,54.12580820169179
26,g0,0.9999999984042258
26,D,2.588504640449669
26,sigma,54.783970672277995
27,g0,0.9999999992563446
27,D,2.6713417493024543
27,sigma,57.704855164291764
28,g0,0.8592513951714739
28,D,2.2125992566920267
28,sigma,66.62694405426184
29,g0,0.8044402166028791
29,D,2.8340977963081695
29,sigma,54.204879112017785
30,g0,0.3870115955020199
30,D,3.88110526524125
30,sigma,75.37451623169395
31,g0,0.37682367178541437
31,D,3.9829238937867024
31,sigma,70.02444698461271
32,g0,0.9999999930296041
32,D,3.8793792146166863
32,sigma,40.17297189482227
33,g0,0.6683974896305274
33,D,3.316558734084454
33,sigma,61.079064889215005
34,g0,0.5580553559243759
34,D,1.9537986221990498
34,sigma,77.19484524886245
35,g0,0.443699987651301
35,D,2.7431926897134096
35,sigma,81.95013060130199
36,g0,0.7447124348251387
36,D,2.8610266726178364
36,sigma,64.45636978900964
37,g0,0.3992708815948827
37,D,2.9120765146416945
37,sigma,82.69421319966226
38,g0,0.4969751511718946
38,D,3.7212953245965688
38,sigma,71.30450785023791
39,g0,0.9146317324727964
39,D,1.7906558634426
39,sigma,53.502625020756234
40,g0,0.6832163983726063
40,D,4.782614620111377
40,sigma,54.23997547692109
41,g0,0.9081593447835014
41,D,2.5628501177325544
41,sigma,53.406333613539196
42,g0,0.9164519681842034
42,D,2.2708427871415457
42,sigma,51.562476826715454
43,g0,0.6908900210311318
43,D,3.108459951911992
43,sigma,57.5994507214545
44,g0,0.528451281696269
44,D,3.618174286821784
44,sigma,63.261101467506435
45,g0,0.6292417903511315
45,D,3.0587049071744
45,sigma,65.13960943580346
46,g0,0.6354880652520689
46,D,2.1513802502275396
46,sigma,77.39541806888765
47,g0,0.797583084512469
47,D,2.9106523607553942
47,sigma,62.96907380045084
48,g0,0.9659553205747861
48,D,3.583475000799567
48,sigma,53.03467930026424
49,g0,0.6702766400515316
49,D,3.2903954791859715
49,sigma,58.791357699571456
50,g0,0.9999999988494752
50,D,2.5389089509477745
50,sigma,54.140837937443365
51,g0,0.8210910961801053
51,D,2.5291746369142865
51,sigma,70.48113390017011
52,g0,0.9999999995582696
52,D,4.204641007979909
52,sigma,48.63483843054419
53,g0,0.9999999989691174
53,D,3.448014760805383
53,sigma,47.03842189372183
54,g0,0.3601510863042923
54,D,2.500189395751919
54,sigma,87.78308283581887
55,g0,0.9999999946699282
55,D,2.970479607933166
55,sigma,47.7702442637248
56,g0,0.5815382577773934
56,D,4.26371089601561
56,sigma,55.21051351879519
57,g0,0.6061839479660681
57,D,3.5040347467802957
57,sigma,57.937259560112004
58,g0,0.9999999985301766
58,D,3.439238717590817
58,sigma,54.940461202108054
59,g0,0.47886925286956283
59,D,2.9329153855646997
59,sigma,61.88551365248628
60,g0,0.5384313940192463
60,D,4.177262807414258
60,sigma,58.18455567950446
61,g0,0.38140814585134397
61,D,3.8282694851537995
61,sigma,73.9571769548003
62,g0,0.9999999980470152
62,D,3.027577068134779
62,sigma,50.861953584290845
63,g0,0.96895430263227
63,D,2.9639792097573596
63,sigma,47.40512285371875
64,g0,0.9685911209663834
64,D,4.530358925349285
64,sigma,50.99137190237416
65,g0,0.6213405683256327
65,D,3.4303301408839935
65,sigma,64.2960829849315
66,g0,0.9999999980043754
66,D,3.5506220885175988
66,sigma,40.73228433875814
67,g0,0.8736095028437819
67,D,2.7123106754885677
67,sigma,67.8182699661022
68,g0,0.7451846476614992
68,D,2.579971391672533
68,sigma,72.38726068480582
69,g0,0.9999999950872396
69,D,3.371094246399271
69,sigma,54.70428457828128
70,g0,0.5320998638206583
70,D,3.7756957395811783
70,sigma,67.26829449192286
71,g0,0.9999999981091813
71,D,2.287453890119597
71,sigma,58.93779620808322
72,g0,0.7949821898132643
72,D,3.586033134659921
72,sigma,57.42176173090144
73,g0,0.9921089793039234
73,D,3.7689986669523554
73,sigma,50.22708376738949
74,g0,0.9999999988332993
74,D,3.024848898711928
74,sigma,54.711509329040005
75,g0,0.9999999850772375
75,D,2.909768967851045
75,sigma,45.93100954648896
76,g0,0.9999999865577727
