fit_method,method,parameter,estimate,se,sim,true,pct_diff
secr,secr,D,5.233722410774562,0.2533854591134822,1,5,4.674448215491243
secr,secr,g0,0.8549552302474385,0.03666099803758095,1,0.8,6.869403780929803
secr,secr,sigma,76.01347323051974,2.3111103578441936,1,80,-4.98315846185033
acre,acre,g0,0.8549506956980666,0.036641581572912585,1,0.8,6.868836962258317
acre,acre,sigma,76.01391078913515,2.308195235113644,1,80,-4.982611513581059
acre,acre,D,5.233701531372005,0.2531225870903892,1,5,4.6740306274401
secr,secr,D,5.421469857537759,0.2728519903542118,2,5,8.429397150755182
secr,secr,g0,0.7745662352592994,0.03571924968495294,2,0.8,-3.1792205925875865
secr,secr,sigma,77.4037601813747,2.501946900390228,2,80,-3.245299773281633
acre,acre,g0,0.7745616816054078,0.03570774085717618,2,0.8,-3.179789799324026
acre,acre,sigma,77.40424265866417,2.498951420770562,2,80,-3.2446966766697822
acre,acre,D,5.421446411938351,0.27254454173279385,2,5,8.428928238767028
secr,secr,D,5.176900323001892,0.26715028878391,3,5,3.5380064600378347
secr,secr,g0,0.7603709680036326,0.0344658815569762,3,0.8,-4.953628999545934
secr,secr,sigma,80.50643902686521,2.644874722112811,3,80,0.6330487835815113
acre,acre,g0,0.7603716098112944,0.03445686515608894,3,0.8,-4.953548773588209
acre,acre,sigma,80.50633399530881,2.6417121007946918,3,80,0.6329174941360094
acre,acre,D,5.176910782901906,0.26682595312143587,3,5,3.5382156580381263
secr,secr,D,4.420195540776984,0.24292868734143674,4,5,-11.596089184460325
secr,secr,g0,0.804302423813214,0.03909319074278916,4,0.8,0.5378029766517495
secr,secr,sigma,79.60106904605114,2.734416545371809,4,80,-0.4986636924360788
acre,acre,g0,0.8042993531040056,0.03908204397120531,4,0.8,0.5374191380006915
acre,acre,sigma,79.60138108816808,2.73133113736738,4,80,-0.4982736397898968
acre,acre,D,4.42018623303377,0.24262470787845905,4,5,-11.596275339324595
secr,secr,D,4.93607451571281,0.25801871129964,5,5,-1.2785096857438027
secr,secr,g0,0.7864237509061,0.03583990760960385,5,0.8,-1.697031136737512
secr,secr,sigma,79.578342399596,2.6125657012247134,5,80,-0.5270720005050045
acre,acre,g0,0.786419129182812,0.0358306747409502,5,0.8,-1.6976088521485078
acre,acre,sigma,79.57882593989693,2.6096736370826594,5,80,-0.5264675751288372
acre,acre,D,4.936053087813631,0.25771274426375207,5,5,-1.2789382437273744
secr,secr,D,4.765561717509709,0.24885400341406516,6,5,-4.688765649805813
secr,secr,g0,0.8004742907368775,0.03544228226829257,6,0.8,0.059286342109679535
secr,secr,sigma,79.7756498660747,2.607221578898219,6,80,-0.28043766740662335
acre,acre,g0,0.8004694497520678,0.03542988288409198,6,0.8,0.05868121900846901
acre,acre,sigma,79.776177381684235,2.60413801127673,6,80,-0.27977827289470625
acre,acre,D,4.765539412555736,0.24855508098863474,6,5,-4.689211748885285
