fit_method,method,parameter,estimate,se,sim
secr,secr,D,3.8514051379301457,0.7314980582105568,1
secr,secr,g0,0.7006735227289761,0.12275200465318278,1
secr,secr,sigma,80.27016283942338,9.978239518071094,1
acre,acre,g0,0.7006729166193926,0.12271620699202507,1
acre,acre,sigma,80.27022831560389,9.930765224117925,1
acre,acre,D,3.8514048037259463,0.7246062582622258,1
secr,secr,D,3.18292099464501,0.5799095800245428,2
secr,secr,g0,0.8451322549245034,0.12538095020005732,2
secr,secr,sigma,80.36592434363446,8.649647861928528,2
acre,acre,g0,0.8451291552048387,0.1253211116488772,2
acre,acre,sigma,80.36627709814259,8.616238506250296,2
acre,acre,D,3.1829117273983494,0.5749070964648525,2
secr,secr,D,2.845419158459345,0.5731067535777814,3
secr,secr,g0,0.7747248844018771,0.13740988800098422,3
secr,secr,sigma,81.63002617420307,10.325311024756088,3
acre,acre,g0,0.7747229185676886,0.1373505404316462,3
acre,acre,sigma,81.63020879529786,10.273434594468908,3
acre,acre,D,2.8454182215657475,0.5670992058414869,3
secr,secr,D,3.2993024287864334,0.5373029897915367,4
secr,secr,g0,0.97450023188189006,0.11470709017876408,4
secr,secr,sigma,82.15020602678541,7.835856441573108,4
acre,acre,g0,0.9745044514445276,0.11453477702334146,4
acre,acre,sigma,82.14975333957429,7.804777400701006,4
acre,acre,D,3.299326971297121,0.5334637831902048,4
secr,secr,D,3.679023615512919,0.6220757203770368,5
secr,secr,g0,0.9210635792988136,0.12423868407124652,5
secr,secr,sigma,75.43959305590377,7.466601239907973,5
acre,acre,g0,0.9210601545422664,0.12415183069172286,5
acre,acre,sigma,75.43989909104577,7.441756838201138,5
acre,acre,D,3.6790119459701476,0.6174658300337168,5
secr,secr,D,2.0059541195034454,0.44850469807099663,6
secr,secr,g0,0.9089266985952269,0.1349973101396566,6
secr,secr,sigma,82.06987353121927,10.303492034098594,6
acre,acre,g0,0.9089235006291628,0.1349488317606291,6
acre,acre,sigma,82.07032549699127,10.256360336035774,6
acre,acre,D,2.0059458471886824,0.44285528711134553,6
secr,secr,D,4.050310708046177,0.7223410199337341,7
secr,secr,g0,0.8186404063508411,0.168253264511826,7
secr,secr,sigma,66.2746215621122,7.791593316036132,7
acre,acre,g0,0.8186335454927998,0.1681252186805064,7
acre,acre,sigma,66.27504421769422,7.755952256432595,7
acre,acre,D,4.050299252728569,0.7165269528439344,7
secr,secr,D,3.4625411385828873,0.6855602140020488,8
secr,secr,g0,0.8185116056951445,0.19318857990416316,8
secr,secr,sigma,64.83921996544426,8.347108224276283,8
