method,parameter,estimate,se,time,sim,true,pct_diff
secr_joint,D.(Intercept),1.1134061880670216,0.08260920803584546,110.63000000000102,1,1.0986122886681098,1.3465987547660754
secr_joint,D.x.s,0.32804139408001504,0.084967669514001,110.63000000000102,1,0.5,-34.39172118399699
secr_joint,g0,0.8226862961263273,0.7413806664125921,110.63000000000102,1,0.8,2.8357870157909026
secr_joint,sigma.(Intercept),3.989382889084405,0.0616258991828728,110.63000000000102,1,4.05,-1.4967187880393737
secr_joint,sigma.x.s,-0.14697993595138814,0.03866683993264826,110.63000000000102,1,-0.23,-36.09568002113559
secr_glm,g0,0.822631384182881,0.7411103026521787,42.44999999999891,1,0.8,2.8289230228601134
secr_glm,sigma.(Intercept),3.9894331920052752,0.06163272805720295,42.44999999999891,1,4.05,-1.4954767406104836
secr_glm,sigma.x.s,-0.1469254625314407,0.03866579836141045,42.44999999999891,1,-0.23,-36.11936411676491
secr_glm,D.(Intercept),1.113382664067365,0.060741965798090755,42.44999999999891,1,1.0986122886681098,1.3444575080406105
secr_glm,D.x.s,0.32796962262990365,0.064354665383776,42.44999999999891,1,0.5,-34.40607547401927
secr_varprop,g0,0.822631384182881,0.7411103026521787,44.0099999999984,1,0.8,2.8289230228601134
secr_varprop,sigma.(Intercept),3.9894331920052752,0.06163272805720295,44.0099999999984,1,4.05,-1.4954767406104836
secr_varprop,sigma.x.s,-0.1469254625314407,0.03866579836141045,44.0099999999984,1,-0.23,-36.11936411676491
secr_varprop,D.(Intercept),1.1118035605774463,0.08262415193170464,44.0099999999984,1,1.0986122886681098,1.200721314097883
secr_varprop,D.x.s,0.3279669326474978,0.08496990761681973,44.0099999999984,1,0.5,-34.40661347050044
secr_joint,D.(Intercept),0.9945791269868869,0.0921882544772573,105.20000000000073,2,1.0986122886681098,-9.469506463226105
secr_joint,D.x.s,0.6010871423481926,0.10159783056190234,105.20000000000073,2,0.5,20.21742846963852
secr_joint,g0,0.6562558174100896,0.3544506293722815,105.20000000000073,2,0.8,-17.9680228237388
secr_joint,sigma.(Intercept),4.186328590920071,0.06582739553947309,105.20000000000073,2,4.05,3.366138047409158
secr_joint,sigma.x.s,-0.24605828089240206,0.051145669387944424,105.20000000000073,2,-0.23,6.981861257566107
secr_glm,g0,0.6564090636544487,0.35463487985614284,46.51999999999862,2,0.8,-17.948867043193914
secr_glm,sigma.(Intercept),4.185981453347538,0.06578757018068995,46.51999999999862,2,4.05,3.3575667493219337
secr_glm,sigma.x.s,-0.24598435919726774,0.05107661116997957,46.51999999999862,2,-0.23,6.949721390116406
secr_glm,D.(Intercept),0.9949318184610174,0.06122823334252783,46.51999999999862,2,1.0986122886681098,-9.43740310176106
secr_glm,D.x.s,0.6009577094230409,0.06453768766471868,46.51999999999862,2,0.5,20.19154188460819
secr_varprop,g0,0.6564090636544487,0.35463487985614284,48.24999999999818,2,0.8,-17.948867043193914
secr_varprop,sigma.(Intercept),4.185981453347538,0.06578757018068995,48.24999999999818,2,4.05,3.3575667493219337
secr_varprop,sigma.x.s,-0.24598435919726774,0.05107661116997957,48.24999999999818,2,-0.23,6.949721390116406
secr_varprop,D.(Intercept),0.9924588929061903,0.09213597241927672,48.24999999999818,2,1.0986122886681098,-9.66249848621422
secr_varprop,D.x.s,0.6015578280585648,0.10152395112233834,48.24999999999818,2,0.5,20.311565611712968
secr_joint,D.(Intercept),1.0413907342317343,0.0743719093912251,126.46999999999935,3,1.0986122886681098,-5.208530345655186
secr_joint,D.x.s,0.4106522532547599,0.08200238866533348,126.46999999999935,3,0.5,-17.869549349048018
secr_joint,g0,0.9565254012540552,2.3120340858617303,126.46999999999935,3,0.8,19.56567515675689
secr_joint,sigma.(Intercept),4.010192976014263,0.050350599379204275,126.46999999999935,3,4.05,-0.9828894811293003
secr_joint,sigma.x.s,-0.23148176054862654,0.03664595941026893,126.46999999999935,3,-0.23,0.6442437167941442
secr_glm,g0,0.9568921743741475,2.3314873026998972,57.970000000001164,3,0.8,19.611521796768436
secr_glm,sigma.(Intercept),4.009736900421824,0.05034241594418638,57.970000000001164,3,4.05,-0.994150606868529
secr_glm,sigma.x.s,-0.23170128710319723,0.036648138802740295,57.970000000001164,3,-0.23,0.7396900448683584
secr_glm,D.(Intercept),1.0417489997903089,0.059051910628212426,57.970000000001164,3,1.0986122886681098,-5.175919609158793
secr_glm,D.x.s,0.41092179378711924,0.06261793102100749,57.970000000001164,3,0.5,-17.815641242576152
secr_varprop,g0,0.9568921743741475,2.3314873026998972,59.38000000000102,3,0.8,19.611521796768436
secr_varprop,sigma.(Intercept),4.009736900421824,0.05034241594418638,59.38000000000102,3,4.05,-0.994150606868529
secr_varprop,sigma.x.s,-0.23170128710319723,0.036648138802740295,59.38000000000102,3,-0.23,0.7396900448683584
secr_varprop,D.(Intercept),1.0400449791224098,0.07437728618601146,59.38000000000102,3,1.0986122886681098,-5.331026254649255
secr_varprop,D.x.s,0.4105562521774627,0.08200858873021617,59.38000000000102,3,0.5,-17.888749564507457
secr_joint,D.(Intercept),1.2090139708166565,0.08483201885057978,112.39999999999964,4,1.0986122886681098,10.049194177719508
secr_joint,D.x.s,0.6518158402378614,0.09150505661051994,112.39999999999964,4,0.5,30.363168047572287
secr_joint,g0,0.7896124100636951,0.623896906617642,112.39999999999964,4,0.8,-1.298448742038119
secr_joint,sigma.(Intercept),4.000266775518563,0.060784197137804134,112.39999999999964,4,4.05,-1.2279808513935013
secr_joint,sigma.x.s,-0.2636950496544079,0.043045646703331795,112.39999999999964,4,-0.23,14.650021588872985
secr_glm,g0,0.7910148382071376,0.627688028659836,44.63000000000102,4,0.8,-1.1231452241078077
secr_glm,sigma.(Intercept),3.9990426481000902,0.06068785888701393,44.63000000000102,4,4.05,-1.2582062197508537
secr_glm,sigma.x.s,-0.26447671293544206,0.04302552306895818,44.63000000000102,4,-0.23,14.98987518932263
secr_glm,D.(Intercept),1.2095459359964584,0.05928813109078843,44.63000000000102,4,1.0986122886681098,10.09761573510504
secr_glm,D.x.s,0.6528281285018714,0.06247917781594189,44.63000000000102,4,0.5,30.565625700374287
secr_varprop,g0,0.7910148382071376,0.627688028659836,46.030000000000655,4,0.8,-1.1231452241078077
secr_varprop,sigma.(Intercept),3.9990426481000902,0.06068785888701393,46.030000000000655,4,4.05,-1.2582062197508537
secr_varprop,sigma.x.s,-0.26447671293544206,0.04302552306895818,46.030000000000655,4,-0.23,14.98987518932263
secr_varprop,D.(Intercept),1.2072582087934582,0.08476760067788759,46.030000000000655,4,1.0986122886681098,9.889377831105833
secr_varprop,D.x.s,0.6519052335588719,0.09149032759028385,46.030000000000655,4,0.5,30.381046711774374
secr_joint,D.(Intercept),1.0699756236485025,0.07911664305686608,93.61999999999898,5,1.0986122886681098,-2.606621582061912
secr_joint,D.x.s,0.3685361652155006,0.08112398638078205,93.61999999999898,5,0.5,-26.292766956899882
